timestamp,iterations,solutions,solver_checks,solver_time
1675809568.6710606,543,541,2745,92521.16557335854
1675809626.4330807,544,542,2750,92578.90842652321
1675809671.4810257,545,543,2751,92623.94029021263
1675809736.6030734,546,544,2761,92689.04028081894
1675809794.7388828,547,545,2762,92747.16127252579
1675809835.0098736,548,546,2764,92787.41572523117
1675809876.5344462,549,547,2765,92828.92684030533
1675809949.1843054,550,548,2766,92901.5666847229
1675810010.8264139,551,549,2767,92963.19265174866
1675810052.916897,552,550,2768,93005.26815843582
1675810090.7462769,553,551,2769,93043.0834248066
1675810126.5708818,554,552,2770,93078.89303016663
1675810198.3231359,555,553,2771,93150.63506150246
1675810239.4531136,556,554,2775,93191.74787783623
1675810275.1106305,557,555,2776,93227.3944606781
1675810324.609786,558,556,2788,93276.87126207352
1675810372.3910868,559,557,2789,93324.63851428032
1675810427.4139562,560,558,2796,93379.64662528038
1675810462.1910322,561,559,2797,93414.40984034538
1675810491.9860144,562,560,2809,93444.1816830635
1675810519.0427184,563,561,2810,93471.22805070877
1675810569.4431462,564,562,2817,93521.61087298393
1675810630.7305014,565,563,2818,93582.88458013535
1675810661.7328322,566,564,2830,93613.86374855042
1675810712.209583,567,565,2831,93664.331366539
1675810791.5462594,568,566,2838,93743.64804267883
1675810844.2315984,569,567,2839,93796.31939792633
1675810920.7415338,570,568,2851,93872.80678224564
1675810956.4532936,571,569,2852,93908.50314497948
1675811022.703229,572,570,2859,93974.73878788948
1675811103.4504812,573,571,2860,94055.47215867043
1675811194.184691,574,572,2872,94146.18267416954
1675811293.732482,575,573,2873,94245.71529126167
1675811370.7398198,576,574,2880,94322.70334100723
1675811446.2892904,577,575,2881,94398.23849797249
1675811524.250975,578,576,2893,94476.1752231121
1675811999.5160592,579,577,2894,94951.42613339424
1675812073.7730076,580,578,2902,95025.6505458355
1675812167.5950558,581,579,2903,95119.45697259903
1675812209.4640305,582,580,2913,95161.30143475533
1675812259.8118484,583,581,2914,95211.63371777534
1675812307.5778706,584,582,2919,95259.37990903854
1675812357.7975948,585,583,2920,95309.58452701569
1675812479.4247947,586,584,2930,95431.19064164162
1675812530.317636,587,585,2931,95482.06863760948
1675812568.550153,588,586,2936,95520.28613781929
1675812641.5720072,589,587,2937,95593.29521369934
1675812686.0360048,590,588,2947,95637.73399233818
